name,color
Albania,#FF00FF
Amsterdam,#0000FF
Belgium,#6495ED
Berlin,#F4A460
Boston,#8E8E38
Brazil,#C6E2FF
Brooklyn,#D8BFD8
Cairo,#97FFFF
Chicago,#00EEEE
China (West Lake),#03A89E
Copenhagen,#66CDAA
Croatia,#00FF7F
Dallas,#800080
Denver,#BF3EFF
France,#912CEE
Greece,#EE82EE
Houston,#FFFF00
India (Delhi),#FF7256
India (Gujarat),#FF7F24
Iran,#FF3030
Italy,#FF4500
Japan (Hakone),#66a3ff
Japan (Tenri),#ff6666
Kenya,#ff80d5
Laos,#cc99ff
Lijiang,#4da6ff
London,#00e6e6
Malaysia,#4dffa6
Melbourne,#80ffbf
Mexico (Chihuahua),#99ff66
Mexico (Sinaloa),#ffff66
New Orleans,#ffb366
New Zealand,#ff80ff
Philadelphia,#80ccff
Poland,#6666ff
Portugal,#884dff
Seattle,#ff33ff
Seoul,#ff1a75
Singapore,#ff6600
South Africa,#ffcc00
Spain,#ccff33
St. Louis,#8cff1a
Stockholm,#00ff00
Taiwan,#00cc66
Thailand,#47d1d1
Vancouver,#66e0ff
